id,inning,over,ball,batsman,non_striker,bowler,batsman_runs,extra_runs,total_runs,non_boundary,is_wicket,dismissal_kind,player_dismissed,fielder,extras_type,batting_team,bowling_team
335986,1,8,2,RG Sharma,A Symonds,M Kartik,0,0,0,0,0,,,,,Deccan Chargers,Kolkata Knight Riders
335986,1,8,3,RG Sharma,A Symonds,M Kartik,0,0,0,0,0,,,,,Deccan Chargers,Kolkata Knight Riders
335986,1,8,4,RG Sharma,A Symonds,M Kartik,0,0,0,0,1,caught,RG Sharma,WP Saha,,Deccan Chargers,Kolkata Knight Riders
335988,1,13,3,RG Sharma,SB Bangar,VY Mahesh,1,0,1,0,0,,,,,Deccan Chargers,Delhi Daredevils
335988,1,13,5,RG Sharma,SB Bangar,VY Mahesh,1,0,1,0,0,,,,,Deccan Chargers,Delhi Daredevils
335988,1,14,2,RG Sharma,SB Bangar,R Bhatia,1,0,1,0,0,,,,,Deccan Chargers,Delhi Daredevils
335988,1,14,4,RG Sharma,SB Bangar,R Bhatia,0,0,0,0,0,,,,,Deccan Chargers,Delhi Daredevils
335988,1,14,5,RG Sharma,SB Bangar,R Bhatia,1,0,1,0,0,,,,,Deccan Chargers,Delhi Daredevils
335988,1,15,3,RG Sharma,SB Bangar,Mohammad Asif,6,0,6,0,0,,,,,Deccan Chargers,Delhi Daredevils
335988,1,15,4,RG Sharma,SB Bangar,Mohammad Asif,1,0,1,0,0,,,,,Deccan Chargers,Delhi Daredevils
335988,1,15,6,RG Sharma,SB Bangar,Mohammad Asif,0,0,0,0,0,,,,,Deccan Chargers,Delhi Daredevils
335988,1,16,3,RG Sharma,AS Yadav,R Bhatia,0,0,0,0,0,,,,,Deccan Chargers,Delhi Daredevils
335988,1,16,4,RG Sharma,AS Yadav,R Bhatia,6,0,6,0,0,,,,,Deccan Chargers,Delhi Daredevils
335988,1,16,5,RG Sharma,AS Yadav,R Bhatia,1,0,1,0,0,,,,,Deccan Chargers,Delhi Daredevils
335988,1,17,1,RG Sharma,AS Yadav,MF Maharoof,6,0,6,0,0,,,,,Deccan Chargers,Delhi Daredevils
335988,1,17,2,RG Sharma,AS Yadav,MF Maharoof,6,0,6,0,0,,,,,Deccan Chargers,Delhi Daredevils
335988,1,17,3,RG Sharma,AS Yadav,MF Maharoof,4,0,4,0,0,,,,,Deccan Chargers,Delhi Daredevils
335988,1,17,4,RG Sharma,AS Yadav,MF Maharoof,4,0,4,0,0,,,,,Deccan Chargers,Delhi Daredevils
335988,1,17,5,RG Sharma,AS Yadav,MF Maharoof,4,0,4,0,0,,,,,Deccan Chargers,Delhi Daredevils
335988,1,17,6,RG Sharma,AS Yadav,MF Maharoof,2,0,2,0,0,,,,,Deccan Chargers,Delhi Daredevils
335988,1,18,4,RG Sharma,AS Yadav,R Bhatia,0,0,0,0,1,caught,RG Sharma,GD McGrath,,Deccan Chargers,Delhi Daredevils
335988,1,8,1,RG Sharma,A Symonds,VY Mahesh,4,0,4,0,0,,,,,Deccan Chargers,Delhi Daredevils
335988,1,8,2,RG Sharma,A Symonds,VY Mahesh,0,0,0,0,0,,,,,Deccan Chargers,Delhi Daredevils
335988,1,8,3,RG Sharma,A Symonds,VY Mahesh,1,0,1,0,0,,,,,Deccan Chargers,Delhi Daredevils
335988,1,8,5,RG Sharma,A Symonds,VY Mahesh,0,0,0,0,0,,,,,Deccan Chargers,Delhi Daredevils
335988,1,8,6,RG Sharma,A Symonds,VY Mahesh,1,0,1,0,0,,,,,Deccan Chargers,Delhi Daredevils
335988,1,9,1,RG Sharma,A Symonds,MF Maharoof,0,1,1,0,0,,,,wides,Deccan Chargers,Delhi Daredevils
335988,1,9,2,RG Sharma,A Symonds,MF Maharoof,1,0,1,0,0,,,,,Deccan Chargers,Delhi Daredevils
335988,1,10,1,RG Sharma,Shahid Afridi,VY Mahesh,0,0,0,0,0,,,,,Deccan Chargers,Delhi Daredevils
335988,1,10,2,RG Sharma,Shahid Afridi,VY Mahesh,0,0,0,0,0,,,,,Deccan Chargers,Delhi Daredevils
335988,1,10,3,RG Sharma,Shahid Afridi,VY Mahesh,0,0,0,0,0,,,,,Deccan Chargers,Delhi Daredevils
335988,1,10,4,RG Sharma,Shahid Afridi,VY Mahesh,4,0,4,0,0,,,,,Deccan Chargers,Delhi Daredevils
335988,1,10,5,RG Sharma,Shahid Afridi,VY Mahesh,4,0,4,0,0,,,,,Deccan Chargers,Delhi Daredevils
335988,1,10,6,RG Sharma,Shahid Afridi,VY Mahesh,1,0,1,0,0,,,,,Deccan Chargers,Delhi Daredevils
335988,1,11,1,RG Sharma,Shahid Afridi,MF Maharoof,2,0,2,0,0,,,,,Deccan Chargers,Delhi Daredevils
335988,1,11,2,RG Sharma,Shahid Afridi,MF Maharoof,0,0,0,0,0,,,,,Deccan Chargers,Delhi Daredevils
335988,1,11,3,RG Sharma,Shahid Afridi,MF Maharoof,1,0,1,0,0,,,,,Deccan Chargers,Delhi Daredevils
335988,1,11,5,RG Sharma,Shahid Afridi,MF Maharoof,1,0,1,0,0,,,,,Deccan Chargers,Delhi Daredevils
335988,1,12,5,RG Sharma,SB Bangar,R Bhatia,1,0,1,0,0,,,,,Deccan Chargers,Delhi Daredevils
335988,1,13,1,RG Sharma,SB Bangar,VY Mahesh,1,0,1,0,0,,,,,Deccan Chargers,Delhi Daredevils
335990,1,8,4,RG Sharma,A Symonds,SK Warne,1,0,1,0,0,,,,,Deccan Chargers,Rajasthan Royals
335990,1,8,6,RG Sharma,A Symonds,SK Warne,1,0,1,0,0,,,,,Deccan Chargers,Rajasthan Royals
335990,1,9,1,RG Sharma,A Symonds,SK Trivedi,1,0,1,0,0,,,,,Deccan Chargers,Rajasthan Royals
335990,1,9,5,RG Sharma,A Symonds,SK Trivedi,0,0,0,0,0,,,,,Deccan Chargers,Rajasthan Royals
335990,1,9,6,RG Sharma,A Symonds,SK Trivedi,1,0,1,0,0,,,,,Deccan Chargers,Rajasthan Royals
335990,1,10,1,RG Sharma,A Symonds,SK Warne,1,0,1,0,0,,,,,Deccan Chargers,Rajasthan Royals
335990,1,10,3,RG Sharma,A Symonds,SK Warne,0,0,0,0,0,,,,,Deccan Chargers,Rajasthan Royals
335990,1,10,4,RG Sharma,A Symonds,SK Warne,1,0,1,0,0,,,,,Deccan Chargers,Rajasthan Royals
335990,1,11,1,RG Sharma,A Symonds,D Salunkhe,0,0,0,0,0,,,,,Deccan Chargers,Rajasthan Royals
335990,1,11,2,RG Sharma,A Symonds,D Salunkhe,1,0,1,0,0,,,,,Deccan Chargers,Rajasthan Royals
335990,1,11,4,RG Sharma,A Symonds,D Salunkhe,0,0,0,0,0,,,,,Deccan Chargers,Rajasthan Royals
335990,1,11,5,RG Sharma,A Symonds,D Salunkhe,1,0,1,0,0,,,,,Deccan Chargers,Rajasthan Royals
335990,1,12,1,RG Sharma,A Symonds,YK Pathan,1,0,1,0,0,,,,,Deccan Chargers,Rajasthan Royals
335990,1,12,5,RG Sharma,A Symonds,YK Pathan,0,0,0,0,0,,,,,Deccan Chargers,Rajasthan Royals
335990,1,12,6,RG Sharma,A Symonds,YK Pathan,0,0,0,0,0,,,,,Deccan Chargers,Rajasthan Royals
335990,1,13,2,RG Sharma,A Symonds,Pankaj Singh,2,0,2,0,0,,,,,Deccan Chargers,Rajasthan Royals
335990,1,13,3,RG Sharma,A Symonds,Pankaj Singh,6,0,6,0,0,,,,,Deccan Chargers,Rajasthan Royals
335990,1,13,4,RG Sharma,A Symonds,Pankaj Singh,1,0,1,0,0,,,,,Deccan Chargers,Rajasthan Royals
335990,1,13,6,RG Sharma,A Symonds,Pankaj Singh,0,0,0,0,0,,,,,Deccan Chargers,Rajasthan Royals
335990,1,14,4,RG Sharma,A Symonds,SK Trivedi,1,0,1,0,0,,,,,Deccan Chargers,Rajasthan Royals
335990,1,15,1,RG Sharma,A Symonds,SK Warne,1,0,1,0,0,,,,,Deccan Chargers,Rajasthan Royals
335990,1,15,4,RG Sharma,A Symonds,SK Warne,4,0,4,0,0,,,,,Deccan Chargers,Rajasthan Royals
335990,1,15,5,RG Sharma,A Symonds,SK Warne,1,0,1,0,0,,,,,Deccan Chargers,Rajasthan Royals
335990,1,16,2,RG Sharma,A Symonds,MM Patel,4,0,4,0,0,,,,,Deccan Chargers,Rajasthan Royals
335990,1,16,3,RG Sharma,A Symonds,MM Patel,4,0,4,0,0,,,,,Deccan Chargers,Rajasthan Royals
335990,1,16,4,RG Sharma,A Symonds,MM Patel,2,0,2,0,0,,,,,Deccan Chargers,Rajasthan Royals
335990,1,16,5,RG Sharma,A Symonds,MM Patel,0,0,0,0,0,,,,,Deccan Chargers,Rajasthan Royals
