ball,batsman_runs,non_boundary,is_wicket,player_dismissed
2,0,0,0,
3,0,0,0,
4,0,0,1,RG Sharma
3,1,0,0,
5,1,0,0,
2,1,0,0,
4,0,0,0,
5,1,0,0,
3,6,0,0,
4,1,0,0,
6,0,0,0,
3,0,0,0,
4,6,0,0,
5,1,0,0,
1,6,0,0,
2,6,0,0,
3,4,0,0,
4,4,0,0,
5,4,0,0,
6,2,0,0,
4,0,0,1,RG Sharma
1,4,0,0,
2,0,0,0,
3,1,0,0,
5,0,0,0,
6,1,0,0,
1,0,0,0,
2,1,0,0,
1,0,0,0,
2,0,0,0,
3,0,0,0,
4,4,0,0,
5,4,0,0,
6,1,0,0,
1,2,0,0,
2,0,0,0,
3,1,0,0,
5,1,0,0,
5,1,0,0,
1,1,0,0,
4,1,0,0,
6,1,0,0,
1,1,0,0,
5,0,0,0,
6,1,0,0,
1,1,0,0,
3,0,0,0,
4,1,0,0,
1,0,0,0,
2,1,0,0,
4,0,0,0,
5,1,0,0,
1,1,0,0,
5,0,0,0,
6,0,0,0,
2,2,0,0,
3,6,0,0,
4,1,0,0,
6,0,0,0,
4,1,0,0,
1,1,0,0,
4,4,0,0,
5,1,0,0,
2,4,0,0,
3,4,0,0,
4,2,0,0,
5,0,0,0,
6,0,0,0,
3,1,0,0,
6,0,0,1,RG Sharma
6,0,0,0,
3,0,0,0,
4,2,0,0,
5,1,0,0,
2,1,0,0,
5,4,0,0,
6,1,0,0,
1,0,0,0,
2,1,0,0,
5,1,0,0,
1,0,0,0,
1,1,0,0,
3,1,0,0,
4,2,0,0,
5,1,0,0,
2,1,0,0,
4,4,0,0,
5,6,0,0,
6,1,0,0,
1,0,0,0,
2,0,0,0,
3,0,0,0,
4,0,0,0,
5,4,0,0,
6,4,0,0,
5,4,0,0,
6,4,0,0,
2,2,0,0,
3,1,0,0,
2,0,0,0,
3,1,0,0,
6,0,0,0,
2,1,0,0,
6,4,0,0,
2,2,0,0,
3,2,0,0,
4,4,0,0,
5,4,0,0,
6,4,0,0,
3,6,0,0,
4,1,0,0,
6,0,0,0,
4,2,0,0,
5,1,0,0,
7,0,0,0,
8,1,0,0,
1,2,0,0,
2,0,0,0,
3,0,0,0,
4,4,0,0,
5,0,0,0,
6,0,0,1,RG Sharma
3,1,0,0,
5,4,0,0,
6,1,0,0,
1,1,0,0,
4,0,0,0,
5,0,0,0,
6,0,0,0,
3,0,0,0,
4,1,0,0,
2,0,0,0,
3,0,0,0,
4,6,0,0,
5,0,0,0,
6,4,0,0,
5,1,0,0,
2,0,0,0,
3,1,0,0,
5,1,0,0,
1,0,0,1,RG Sharma
6,0,0,0,
2,3,0,0,
4,4,0,0,
5,1,0,0,
1,1,0,0,
5,0,0,0,
6,2,0,0,
3,1,0,0,
1,1,0,0,
3,0,0,0,
4,0,0,1,RG Sharma
4,1,0,0,
1,0,0,0,
1,1,0,0,
3,1,0,0,
1,4,0,0,
2,0,0,1,RG Sharma
3,0,0,0,
4,0,0,0,
5,0,0,0,
6,0,0,0,
2,0,0,0,
3,6,0,0,
4,1,0,0,
1,0,0,0,
2,0,0,0,
5,0,0,0,
2,6,0,0,
3,4,0,0,
4,0,0,0,
5,4,0,0,
6,0,0,0,
7,1,0,0,
5,1,0,0,
5,2,0,0,
6,1,0,0,
3,1,0,0,
3,1,0,0,
1,0,0,0,
2,0,0,0,
3,1,0,0,
1,1,0,0,
4,4,0,0,
5,1,0,0,
1,4,0,0,
2,1,0,0,
4,1,0,0,
6,1,0,0,
1,6,0,0,
2,2,0,0,
3,6,0,0,
4,4,0,0,
5,1,0,0,
1,1,0,0,
4,0,0,1,RG Sharma
6,4,0,0,
7,0,0,0,
3,0,0,0,
3,1,0,0,
5,0,0,0,
6,0,0,0,
3,0,0,1,RG Sharma
4,1,0,0,
1,0,0,0,
2,0,0,0,
2,0,0,0,
3,0,0,0,
4,1,0,0,
1,0,0,0,
2,1,0,0,
4,0,0,0,
5,0,0,0,
6,1,0,0,
1,1,0,0,
5,2,0,0,
6,6,0,0,
2,0,0,0,
3,1,0,0,
1,0,0,0,
2,6,0,0,
3,4,0,0,
4,0,0,0,
5,1,0,0,
1,6,0,0,
2,2,0,0,
3,2,0,0,
4,6,0,0,
5,4,0,0,
6,1,0,0,
1,1,0,0,
3,4,0,0,
4,0,0,1,RG Sharma
2,1,0,0,
5,0,0,0,
6,1,0,0,
4,4,0,0,
3,0,0,0,
6,1,0,0,
1,1,0,0,
3,1,0,0,
6,0,0,0,
7,1,0,0,
1,0,0,0,
2,0,0,0,
2,0,0,0,
3,0,0,0,
4,0,0,0,
5,1,0,0,
2,1,0,0,
4,0,0,0,
5,6,0,0,
6,1,0,0,
1,4,0,0,
1,1,0,0,
3,4,0,0,
4,1,0,0,
1,0,0,0,
2,1,0,0,
4,0,0,0,
5,1,0,0,
1,4,0,0,
2,6,0,0,
3,1,0,0,
1,1,0,0,
4,4,0,0,
5,1,0,0,
3,1,0,0,
2,0,0,0,
3,0,0,0,
4,0,0,0,
5,6,0,0,
6,0,0,0,
2,1,0,0,
4,1,0,0,
5,0,0,1,RG Sharma
6,0,0,0,
3,0,0,0,
4,0,0,0,
5,0,0,0,
4,0,0,0,
5,1,0,0,
1,1,0,0,
4,1,0,0,
6,0,0,0,
2,0,0,0,
3,1,0,0,
5,2,0,0,
6,1,0,0,
1,6,0,0,
2,4,0,0,
3,1,0,0,
6,0,0,0,
7,4,0,0,
3,0,0,0,
4,4,0,0,
5,0,0,0,
6,1,0,0,
1,1,0,0,
6,0,0,0,
2,6,0,0,
6,1,0,0,
1,0,0,0,
2,0,0,0,
3,0,0,0,
6,0,0,0,
3,1,0,0,
5,0,0,0,
3,4,0,0,
4,0,0,0,
5,0,0,0,
6,0,0,0,
7,0,0,0,
2,1,0,0,
5,0,0,0,
6,2,0,0,
3,1,0,0,
1,1,0,0,
3,1,0,0,
2,0,0,0,
5,0,0,0,
1,6,0,0,
2,0,0,0,
3,6,0,0,
4,6,0,0,
5,1,0,0,
3,1,0,0,
5,0,0,0,
6,2,0,0,
2,0,0,0,
3,1,0,0,
6,2,0,0,
4,1,0,0,
3,6,0,0,
4,1,0,0,
4,6,0,0,
5,1,0,0,
1,2,0,0,
2,0,0,1,RG Sharma
7,1,0,0,
1,0,0,0,
3,1,0,0,
5,1,0,0,
4,0,0,1,RG Sharma
4,0,0,0,
5,0,0,0,
6,0,0,0,
2,0,0,0,
3,1,0,0,
6,1,0,0,
1,1,0,0,
5,0,0,0,
6,1,0,0,
1,1,0,0,
4,6,0,0,
5,1,0,0,
3,1,0,0,
6,1,0,0,
1,1,0,0,
4,1,0,0,
6,2,0,0,
2,0,0,0,
3,0,0,0,
4,0,0,1,RG Sharma
4,0,0,0,
5,1,0,0,
1,0,0,0,
2,0,0,0,
3,0,0,0,
4,0,0,0,
5,0,0,0,
6,4,0,0,
1,1,0,0,
4,4,0,0,
5,0,0,0,
6,1,0,0,
1,1,0,0,
4,1,0,0,
6,0,0,0,
2,1,0,0,
4,1,0,0,
1,1,0,0,
3,1,0,0,
6,0,0,1,RG Sharma
3,0,0,0,
5,0,0,0,
1,1,0,0,
4,0,0,0,
4,1,0,0,
1,1,0,0,
4,1,0,0,
1,1,0,0,
2,1,0,0,
1,1,0,0,
2,1,0,0,
5,1,0,0,
7,0,0,0,
8,1,0,0,
1,6,0,0,
2,0,0,0,
3,4,0,0,
4,1,0,0,
1,1,0,0,
3,4,0,0,
4,0,0,0,
5,0,0,0,
6,1,0,0,
1,0,0,0,
2,1,0,0,
4,6,0,0,
5,0,0,1,RG Sharma
6,1,0,0,
1,0,0,0,
2,0,0,0,
3,1,0,0,
5,1,0,0,
5,1,0,0,
1,0,0,0,
1,0,0,0,
